[2016-05-24 06:18:56] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:56] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:56] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:56] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:56] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:56] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:56] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:56] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:56] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:57] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
[2016-05-24 06:18:58] store-permission-role.INFO: successfully added ["Permission role role_id6"] []
